PERIOD;INDICATOR;DIMENSION;VALUE
1997-05-01/1997-11-01;30106_ind01;30106_dim01;3.933054393
1997-11-01/1998-05-01;30106_ind01;30106_dim01;7.173913043
1998-05-01/1998-11-01;30106_ind01;30106_dim01;10.64996085
1998-11-01/1999-05-01;30106_ind01;30106_dim01;19.04761905
1999-03-01/1999-10-01;30106_ind01;30106_dim01;20.64372919
1999-10-01/2000-04-01;30106_ind01;30106_dim01;26.99901283
2000-04-01/2000-10-01;30106_ind01;30106_dim01;
2000-10-01/2001-04-01;30106_ind01;30106_dim01;45.13145083
2001-04-01/2001-10-01;30106_ind01;30106_dim01;
2001-10-01/2002-04-01;30106_ind01;30106_dim01;51.76817289
2002-04-01/2002-10-01;30106_ind01;30106_dim01;
2002-10-01/2003-04-01;30106_ind01;30106_dim01;57.9893152
2003-04-01/2003-10-01;30106_ind01;30106_dim01;
2003-10-01/2004-04-01;30106_ind01;30106_dim01;65.3617443
2004-04-01/2004-10-01;30106_ind01;30106_dim01;72
2004-10-01/2005-04-01;30106_ind01;30106_dim01;75.1
2005-04-01/2005-10-01;30106_ind01;30106_dim01;76.5
2005-10-01/2006-04-01;30106_ind01;30106_dim01;83
2006-04-01/2006-10-01;30106_ind01;30106_dim01;85.8
2006-10-01/2007-04-01;30106_ind01;30106_dim01;87.6
2007-04-01/2007-10-01;30106_ind01;30106_dim01;88.7
2007-10-01/2008-04-01;30106_ind01;30106_dim01;91.1
2008-04-01/2008-10-01;30106_ind01;30106_dim01;91.8
2008-10-01/2009-04-01;30106_ind01;30106_dim01;92.7
2009-04-01/2009-10-01;30106_ind01;30106_dim01;90.5
2009-10-01/2010-04-01;30106_ind01;30106_dim01;94.1
2010-04-01/2010-10-01;30106_ind01;30106_dim01;95.5
2010-10-01/2011-04-01;30106_ind01;30106_dim01;95.4
2011-04-01/2011-10-01;30106_ind01;30106_dim01;95.6
2011-10-01/2012-04-01;30106_ind01;30106_dim01;97
2012-04-01/2012-10-01;30106_ind01;30106_dim01;94.9
2012-10-01/2013-04-01;30106_ind01;30106_dim01;95.1
2013-04-01/2013-10-01;30106_ind01;30106_dim01;97.6
2013-10-01/2014-04-01;30106_ind01;30106_dim01;98.5
2014-04-01/2014-10-01;30106_ind01;30106_dim01;98.1
2014-10-01/2015-04-01;30106_ind01;30106_dim01;98.6
2015-04-01/2015-10-01;30106_ind01;30106_dim01;99.2
2015-10-01/2016-04-01;30106_ind01;30106_dim01;98.6
2016-04-01/2016-10-01;30106_ind01;30106_dim01;97.7
2016-10-01/2017-04-01;30106_ind01;30106_dim01;98.7
2017-04-01/2017-10-01;30106_ind01;30106_dim01;99.6
2017-10-01/2018-04-01;30106_ind01;30106_dim01;99.3
2018-04-01/2018-10-01;30106_ind01;30106_dim01;99.6
2018-10-01/2019-04-01;30106_ind01;30106_dim01;99.4
2019-04-01/2019-10-01;30106_ind01;30106_dim01;98.4
2019-10-01/2020-04-01;30106_ind01;30106_dim01;98.9
1997-05-01/1997-11-01;30106_ind01;30106_dim02;12.0894812
1997-11-01/1998-05-01;30106_ind01;30106_dim02;17.48173131
1998-05-01/1998-11-01;30106_ind01;30106_dim02;23.38413032
1998-11-01/1999-05-01;30106_ind01;30106_dim02;30.97155126
1999-03-01/1999-10-01;30106_ind01;30106_dim02;31.07906514
1999-10-01/2000-04-01;30106_ind01;30106_dim02;36.80709534
2000-04-01/2000-10-01;30106_ind01;30106_dim02;
2000-10-01/2001-04-01;30106_ind01;30106_dim02;51.45164811
2001-04-01/2001-10-01;30106_ind01;30106_dim02;
2001-10-01/2002-04-01;30106_ind01;30106_dim02;56.67107001
2002-04-01/2002-10-01;30106_ind01;30106_dim02;
2002-10-01/2003-04-01;30106_ind01;30106_dim02;64.39824945
2003-04-01/2003-10-01;30106_ind01;30106_dim02;
2003-10-01/2004-04-01;30106_ind01;30106_dim02;70.37457435
2004-04-01/2004-10-01;30106_ind01;30106_dim02;77.8
2004-10-01/2005-04-01;30106_ind01;30106_dim02;75.3
2005-04-01/2005-10-01;30106_ind01;30106_dim02;77.5
2005-10-01/2006-04-01;30106_ind01;30106_dim02;80.4
2006-04-01/2006-10-01;30106_ind01;30106_dim02;83
2006-10-01/2007-04-01;30106_ind01;30106_dim02;86.6
2007-04-01/2007-10-01;30106_ind01;30106_dim02;86.3
2007-10-01/2008-04-01;30106_ind01;30106_dim02;88.8
2008-04-01/2008-10-01;30106_ind01;30106_dim02;90.8
2008-10-01/2009-04-01;30106_ind01;30106_dim02;91.9
2009-04-01/2009-10-01;30106_ind01;30106_dim02;93.1
2009-10-01/2010-04-01;30106_ind01;30106_dim02;93.8
2010-04-01/2010-10-01;30106_ind01;30106_dim02;96.8
2010-10-01/2011-04-01;30106_ind01;30106_dim02;95.8
2011-04-01/2011-10-01;30106_ind01;30106_dim02;95.6
2011-10-01/2012-04-01;30106_ind01;30106_dim02;95.8
2012-04-01/2012-10-01;30106_ind01;30106_dim02;94.5
2012-10-01/2013-04-01;30106_ind01;30106_dim02;96.2
2013-04-01/2013-10-01;30106_ind01;30106_dim02;96.5
2013-10-01/2014-04-01;30106_ind01;30106_dim02;97.9
2014-04-01/2014-10-01;30106_ind01;30106_dim02;97.7
2014-10-01/2015-04-01;30106_ind01;30106_dim02;97.9
2015-04-01/2015-10-01;30106_ind01;30106_dim02;98
2015-10-01/2016-04-01;30106_ind01;30106_dim02;98
2016-04-01/2016-10-01;30106_ind01;30106_dim02;99.2
2016-10-01/2017-04-01;30106_ind01;30106_dim02;99.4
2017-04-01/2017-10-01;30106_ind01;30106_dim02;98.2
2017-10-01/2018-04-01;30106_ind01;30106_dim02;99.2
2018-04-01/2018-10-01;30106_ind01;30106_dim02;98.5
2018-10-01/2019-04-01;30106_ind01;30106_dim02;99.6
2019-04-01/2019-10-01;30106_ind01;30106_dim02;99.8
2019-10-01/2020-04-01;30106_ind01;30106_dim02;99
1997-05-01/1997-11-01;30106_ind01;30106_dim03;10.021398
1997-11-01/1998-05-01;30106_ind01;30106_dim03;14.99797325
1998-05-01/1998-11-01;30106_ind01;30106_dim03;17.21854305
1998-11-01/1999-05-01;30106_ind01;30106_dim03;22.82294676
1999-03-01/1999-10-01;30106_ind01;30106_dim03;25.93159775
1999-10-01/2000-04-01;30106_ind01;30106_dim03;29.89597467
2000-04-01/2000-10-01;30106_ind01;30106_dim03;
2000-10-01/2001-04-01;30106_ind01;30106_dim03;43.64000891
2001-04-01/2001-10-01;30106_ind01;30106_dim03;
2001-10-01/2002-04-01;30106_ind01;30106_dim03;53.46067416
2002-04-01/2002-10-01;30106_ind01;30106_dim03;
2002-10-01/2003-04-01;30106_ind01;30106_dim03;58.53658537
2003-04-01/2003-10-01;30106_ind01;30106_dim03;
2003-10-01/2004-04-01;30106_ind01;30106_dim03;63.48670325
2004-04-01/2004-10-01;30106_ind01;30106_dim03;66.2
2004-10-01/2005-04-01;30106_ind01;30106_dim03;69.9
2005-04-01/2005-10-01;30106_ind01;30106_dim03;70.2
2005-10-01/2006-04-01;30106_ind01;30106_dim03;73.5
2006-04-01/2006-10-01;30106_ind01;30106_dim03;76.9
2006-10-01/2007-04-01;30106_ind01;30106_dim03;77.5
2007-04-01/2007-10-01;30106_ind01;30106_dim03;82
2007-10-01/2008-04-01;30106_ind01;30106_dim03;81.5
2008-04-01/2008-10-01;30106_ind01;30106_dim03;85
2008-10-01/2009-04-01;30106_ind01;30106_dim03;86.2
